Title;Date;Genre;Director;Starring;Watched
Restrepo;2010;Documentary/War;Sebastian Junger;NA;YES
Kelly's Heroes;1970;Action/War;Brian G. Hutton;Clint Eastwood;YES
Taxi Driver;1976;Crime;Martin Scorsese;Robert De Niro;YES
Annihilation;2018;Sci-Fi/Horror;Alex Garland;Natalie Portman;YES
Ex Machina;2014;Sci-Fi/Drama;Alex Garland;Alicia Vikander;YES
Arrival;2016;Sci-Fi/Drama;Denis Villeneuve;Amy Adams;YES
Solaris;1971;Sci-Fi/Drama;Andrei Tarkovsky;NA;NO
Watership Down;1978;Animation/Adventure;Martin Rosen;John Hurt;NO
Eraserhead;1977;Horror;David Lynch;NA;NO
Late Spring(Banshun);1949;Drama;Yasujiro Ozu;Setsuko Hara;NO
The Disaster Artist;2017;Comedy/Biography;James Franco;James Franco;NO
Dr Strangelove or: How I learned to Stop Worrying and Love the Bomb;1964;Comedy;Stanley Kubrick;Peter Sellers;NO
Birdman or (The Unexpected Virtue of Ignorance);2014;Comedy/Drama;Alejandro G. Innaritu;Michael Keaton, Edward Norton;NO
Drive;2011;Crime/Drama;Nicolas Winding Refn;Ryan Gosling;YES
Rush;2013;Action/Biography;Ron Howard;Daniel Brühl, Chris Hemsworth;YES
8 1/2;1963;Drama;Federico Fellini;Claudia Cardinale;NO
Richard III;1995;Drama/War;Richard Loncraine;Ian McKellen;NO
Hamlet;1996;Drama;Kenneth Branagh;Kenneth Branagh, Derek Jacobi;NO
Good Morning, Vietnam!;1987;Biography/Comedy;Barry Levinson;Robin Williams, Forest Whitaker;NO
Rear Window;1954;Thriller;Alfred Hitchcock;Grace Kelly;NO
Blade Runner 2049;2017;Sci-Fi;Denis Villeneuve;Harrison Ford, Ana de Armas;NO
Event Horizon;1997;Sci-Fi/Horror;Paul Anderson;Laurence Fishburne, Sam Neill;NO
Synecdoche, New York;2008;Comedy/Drama;Charlie Kaufman;Michelle Williams;NO
Master and Commander: The far Side of the World;2003;Action/Adventure;Peter Weir;Russell Crowe;YES
Trainspotting;1996;Drama;Danny Boyle;Ewan McGregor;NO
The Warriors;1979;Action/Crime;Walter Hill;James Remar;NO
The 400 Blows;1959;Crime/Drama;Francois Truffaut;NA;NO
The Assassination of Jesse James by the Coward Robert Ford;2007;Biography/Crime;Andrew Dominik;Brad Pitt, Sam Shepard;NO
Zero Dark Thirty;2012;Thriller/Drama;Kathryn Bigelow;Jessica Chastain, Chris Pratt;YES
